,Open,High,Low,Close,Volume,Daily Change %,Volatility
2026-02-09,1120.0,1148.0,1100.6,1145.95,2440558,2.31696428571429,4.232142857142866
2026-02-10,1151.0,1153.85,1138.05,1144.1,772966,-0.5994787141616065,1.3727193744569899
2026-02-11,1144.1,1187.7,1144.0,1183.0,2314375,3.40005244296828,3.81959618914431
2026-02-12,1182.0,1203.5,1175.25,1192.5,7064547,0.8883248730964468,2.3900169204737733
2026-02-13,1190.0,1201.0,1184.6,1198.8,998568,0.7394957983193239,1.3781512605042094
2026-02-16,1191.8,1211.85,1185.0,1207.9,2066299,1.3508978016445827,2.2528947810035165
2026-02-17,1207.95,1225.5,1203.45,1213.25,922231,0.4387598824454617,1.825406680740093
2026-02-18,1222.25,1224.55,1214.1,1219.45,753795,-0.22908570259766453,0.8549805686234442
2026-02-19,1222.0,1225.0,1199.55,1207.0,840062,-1.227495908346972,2.0826513911620332
2026-02-20,1206.05,1218.0,1201.55,1216.15,646555,0.8374445503917862,1.3639567182123498
2026-02-23,1220.2,1231.25,1217.6,1227.8,911088,0.6228487133256768,1.118669070644164
2026-02-24,1228.05,1234.8,1220.0,1223.85,870161,-0.3420056186637389,1.2051626562436346
2026-02-25,1228.0,1229.05,1196.75,1200.2,2502176,-2.2638436482084656,2.6302931596091166
2026-02-26,1201.9,1215.0,1189.15,1209.2,1256867,0.6073716615358976,2.150761294616849
